"","avalanche","source","orientation","date","long","lat","6am_temp","16pm_temp","precip","snow_fall","snow_dens","snow_depth","solar_rad"
"13","1","datavalanche","W","04/30/2018",6.88312725276909,45.8761839279016,276.261262134313,283.687063201514,0.0464693444216084,390.71687546802,0,6.73751775172778e-06,2786231.70762822
"14","1","datavalanche","S","04/28/2018",7.033823,45.398997,274.322205542786,282.165185657211,0.0585921798928884,352.067136659583,0,0,2812554.44383746
"15","1","datavalanche","N","04/25/2018",7.058274,45.368568,276.60057413198,283.374165427231,0.141247044532544,318.555267321488,0,0,2873269.08836769
"16","1","datavalanche","NE","04/23/2018",6.44957542419434,44.858026350194,274.395504264154,282.914460744933,0.283024749032887,330.459956562024,0,0,2877186.16220835
"17","1","datavalanche","NE","04/23/2018",6.4304780960083,45.0165458191253,275.363352797553,285.97905494972,0.277324729033938,329.769210423946,0,0,2883570.99256863
"18","1","datavalanche","S","04/23/2018",6.75049561368707,45.7421859761893,274.818498968716,287.331420280321,0.119956600652039,356.998494397923,0,0,2828026.88550806
"19","1","datavalanche","SE","04/20/2018",7.010002,45.364116,274.280058777999,281.733473817543,0.261734305152383,278.680700309449,0,1.11261761037706e-06,2842950.93684098
"20","1","datavalanche","S","04/20/2018",6.75967,45.284399,273.996331644036,281.138470395869,0.332568261543816,294.060483522995,0,0,2878008.74771489
"21","1","datavalanche","N","04/20/2018",7.038292,45.452266,274.161559178454,281.807810366304,0.249858501045423,295.150010936665,0,1.85436268396177e-07,2849609.9623701
"22","1","datavalanche","NE","04/20/2018",6.184022,45.023232,275.053360288433,284.54208902806,0.306959343442599,329.130092218868,0,0,2869743.7219111
"23","1","datavalanche","S","04/19/2018",6.87056032531651,45.4042070650424,273.673817270016,281.274080166831,0.315660337052552,304.218724409266,0,0,2812985.32195993
"24","1","datavalanche","N","04/19/2018",7.05507124405304,45.2876425100631,272.869058391661,279.775218959801,0.278898410317757,269.428618661017,0,0,2782784.68264844
"25","1","datavalanche","E","04/18/2018",6.893107,45.46648,272.701082155193,277.796436017463,0.284973552018082,278.451045021273,2.95409337715804e-06,3.02879238380423e-06,2813181.17565196
"26","1","datavalanche","E","04/18/2018",6.422648,45.087472,273.478659424373,279.460143964424,0.366576246031928,290.243577028049,0,1.85436268396177e-07,2863789.76967329
"27","1","datavalanche","E","04/18/2018",6.72896550542952,44.9505528250332,271.530745904013,275.974412993851,0.347628025457572,271.54002309339,3.83648490539837e-08,0,2851568.49929043
